logged_steps,T,T_t,T_x,T_xx,t,x,rms,scale,run_mode
0,[406.8932  406.69577 406.51053 ... 419.9688  420.2375  420.4989 ],"[-2.8878772  -2.8751166  -2.8554976  ... -0.2872523  -0.28034607
 -0.2734655 ]",[-256.9458  -243.71344 -226.12961 ...  345.88892  336.59604  327.38986],[ 13865.438  19661.68   24896.695 ... -11853.186 -11748.481 -11633.78 ],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 2.6144559383392334, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.8803082704544067}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
1,[402.43176 402.34064 402.24567 ... 379.00317 378.88083 378.75793],"[-0.43064407 -0.42394748 -0.41662768 ... -0.05749051 -0.0563532
 -0.05522606]","[-113.1966   -118.226845 -122.955154 ... -155.00645  -155.72563
 -156.42638 ]",[-6580.6353 -6196.019  -5813.116  ...  -925.1411  -901.7156  -877.9053],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.02546590380370617, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.7754942774772644}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
2,[393.5343  393.4987  393.4606  ... 372.27127 372.13895 372.00574],"[-0.38172513 -0.37621897 -0.3705109  ... -0.10222815 -0.10145286
 -0.10067502]","[ -43.72391   -46.794266  -49.964947 ... -167.50826  -168.61678
 -169.71397 ]",[-3829.8347 -3966.19   -4084.687  ... -1414.3007 -1400.7327 -1386.4042],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.018969960510730743, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.3126041293144226}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
3,[386.11948 386.12292 386.12354 ... 367.1806  367.0527  366.92395],"[-0.41088286 -0.4069368  -0.40289775 ... -0.10724349 -0.10673977
 -0.10622765]","[   6.1245995    2.6128314   -1.017104  ... -161.88458   -162.96494
 -164.04123  ]",[-4365.898  -4544.6245 -4666.9785 ... -1374.2343 -1369.5278 -1364.5135],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.011161468923091888, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.06984821707010269}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
4,[381.9187  381.93127 381.9414  ... 364.52875 364.40668 364.28378],"[-0.3260696  -0.3242703  -0.32249516 ... -0.10368369 -0.10316768
 -0.10264334]","[  17.478832   14.42342    11.315074 ... -154.51802  -155.55211
 -156.58464 ]",[-3826.6091 -3923.2837 -3963.0452 ... -1314.119  -1312.3323 -1310.3792],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.005036651622503996, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.018526514992117882}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
5,[377.94775 377.95825 377.9673  ... 361.67078 361.55322 361.43484],"[-0.2281782  -0.22729197 -0.22671194 ... -0.10941005 -0.10891528
 -0.10841177]","[  14.189391   12.442132   10.540638 ... -148.79472  -149.83301
 -150.86926 ]",[-2100.5188 -2327.2004 -2492.7202 ... -1319.9294 -1317.3586 -1314.6753],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.003742172149941325, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.013436838984489441}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
6,[377.90997 377.9132  377.91492 ... 361.41827 361.30194 361.18478],"[-0.22890468 -0.22825164 -0.22783916 ... -0.10907432 -0.1085868
 -0.10809168]","[   5.0190296    3.1496572    1.1386473 ... -147.22835   -148.25595
 -149.28015  ]",[-2263.6191 -2474.0698 -2624.243  ... -1307.0266 -1302.8711 -1298.582 ],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.003118228167295456, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.010737468488514423}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
7,[377.80045 377.80072 377.79944 ... 361.17303 361.05615 360.93845],"[-0.23118186 -0.23063649 -0.23026575 ... -0.10971083 -0.10926127
 -0.10880441]","[   1.3608353   -0.6192334   -2.7407298 ... -147.9442    -148.98413
 -150.02014  ]",[-2403.6875 -2614.7593 -2765.5974 ... -1323.3082 -1318.2645 -1313.0155],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.002709631808102131, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.010308296419680119}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
8,[377.49023 377.48898 377.486   ... 360.81488 360.69836 360.581  ],"[-0.24696124 -0.24567063 -0.24452694 ... -0.11002194 -0.10960034
 -0.10917222]","[  -0.5321703   -2.66077     -4.914791  ... -147.46942   -148.5106
 -149.54729  ]",[-2604.5967 -2793.0146 -2921.1216 ... -1325.0663 -1319.4607 -1313.5911],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0023983842693269253, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.010860740207135677}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
9,[377.39294 377.39127 377.38782 ... 360.76773 360.65155 360.53455],"[-0.24927473 -0.24783146 -0.24653636 ... -0.1080782  -0.10766451
 -0.10724452]","[  -1.0894729   -3.2350066   -5.4853177 ... -147.04005   -148.06691
 -149.08916  ]",[-2638.5576 -2800.7258 -2906.6025 ... -1306.9103 -1301.1641 -1295.191 ],[ 1.  1.  1. ... 60. 60. 60.],"[[0.        ]
 [0.0007874 ]
 [0.0015748 ]
 ...
 [0.09842519]
 [0.0992126 ]
 [0.1       ]]","{'laws/fourier_conduction': 0.0022273727227002382, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.01049790345132351}","{'laws/fourier_conduction': 0.009999999776482582, 'constitutive/thermal_diffusivity/law_fourier_conduction/implied_delta': 0.009999999776482582}",training
