config,collocation,overall,governing,constitutive,image
2x2x2x2x1,train,21.19%,99.99%,21.19%,2x2x2x2x1_train_collocation_visualize.png
2x2x2x2x1,test,21.19%,100.00%,21.19%,2x2x2x2x1_test_collocation_visualize.png
2x4x4x4x1,train,57.05%,100.00%,57.05%,2x4x4x4x1_train_collocation_visualize.png
2x4x4x4x1,test,57.05%,100.00%,57.05%,2x4x4x4x1_test_collocation_visualize.png
8x8x8_n2,train,82.08%,100.00%,82.08%,8x8x8_n2_train_collocation_visualize.png
8x8x8_n2,test,81.94%,100.00%,81.94%,8x8x8_n2_test_collocation_visualize.png
16x16x16_n1,train,87.58%,100.00%,87.58%,16x16x16_n1_train_collocation_visualize.png
16x16x16_n1,test,87.58%,100.00%,87.58%,16x16x16_n1_test_collocation_visualize.png
32x32x32_opt,train,94.11%,100.00%,94.11%,32x32x32_opt_train_collocation_visualize.png
32x32x32_opt,test,94.11%,100.00%,94.11%,32x32x32_opt_test_collocation_visualize.png
64x64x64_w1,train,91.25%,100.00%,91.25%,64x64x64_w1_train_collocation_visualize.png
64x64x64_w1,test,91.22%,100.00%,91.22%,64x64x64_w1_test_collocation_visualize.png
128x128x128_w2,train,80.64%,100.00%,80.64%,128x128x128_w2_train_collocation_visualize.png
128x128x128_w2,test,80.44%,100.00%,80.44%,128x128x128_w2_test_collocation_visualize.png
